"id","time","Lposition","Rposition","Lvelocity","Rvelocity","Distance","heading","rollAngle","pitchAngle","yawAngle","temperature","voltage","current","relsoc","abssoc","ttoempty","remcap","fullcap","changecurr","changevolt","maxerror","Vin","Adin","orientation_x","orientation_y","orientation_z","linear_acceleration_x","linear_acceleration_y","linear_acceleration_z","angular_velocity_x","angular_velocity_y","angular_velocity_z","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","magnetic_field_x","magnetic_field_y","magnetic_field_z","gps_x","gps_y","gps_z","gravity_x","gravity_y","gravity_z","rotational_vector_x","rotational_vector_y","rotational_vector_z"
"1","622111.34","0","0","0","0","0","96","0","0","10","2960","15809","64443","93","91","341","6211","6651","0","16500","0","0","0","0","0","0","1522280000000","86","17","0","0","0","41.3902","-73.9549","7.7","0.124","0.283","9.806","3000","3000","12000","1324500","-4605380","4195040","1","1","1","0","0","0"
"2","622111.52","0","0","0","0","0","96","0","0","10","2960","15809","64443","93","91","341","6211","6651","0","16500","0","0","0","0.45832","-0.91664","0.05729","0.016","0.001","0.42","0","0","0","0.11","0.28","9.806","0.003","0.003","0.011","26500000","-62400000","17000000","310.355","-1.749","0.679","1","1","1","0","0","0"
"3","622111.67","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6211","6651","0","16500","0","0","0","1.7187","-0.17187","0","0.015","0.002","0.42","0","0","0","0.11","0.282","9.828","0.004","0.002","0.011","26500000","-62400000","17000000","310.361","-1.655","0.47","1","1","1","0","0","0"
"4","622111.82","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6211","6651","0","16500","0","0","0","1.7187","-0.17187","0","0.015","0.002","0.42","0","0","0","0.133","0.269","9.837","0.004","0.004","0.011","26650000","-68350000","14450000","17","-1.655","0.47","1","1","1","0","0","0"
"5","622111.97","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6211","6651","0","16500","0","0","0","0.05729","1.37496","1.77599","0.009","0.011","0.983","0","0","0","0.112","0.277","9.832","0.004","0.002","0.011","26650000","-68350000","14450000","201.067","-1.431","0.768","1","1","1","0","0","0"
"6","622112.12","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6211","6651","0","16500","0","0","0","0.80206","0.51561","1.48954","0.007","0.013","0.986","0","0","0","0.103","0.281","9.815","0.004","0.002","0.012","24750000","-71650000","13100000","198.879","-1.57","0.572","1","1","1","0","0","0"
"7","622112.27","0","0","0","0","0","96","0","0","10","2960","15809","64448","93","91","341","6211","6651","0","16500","0","0","0","0.22916","-0.80206","0.5729","0.007","0.014","0.986","0","0","0","0.11","0.27","9.803","0.003","0.003","0.011","24700000","-71600000","13000000","198.879","-1.723","0.58","1","1","1","0","0","0"
"8","622112.43","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6211","6651","0","16500","0","0","0","0.63019","-1.43225","-0.11458","0.007","0.014","0.986","0","0","0","0.117","0.284","9.807","0.003","0.003","0.01","24700000","-71750000","13050000","198.879","-1.721","0.58","1","1","1","0","0","0"
"9","622112.58","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6211","6651","0","16500","0","0","0","1.03122","-0.5729","0.05729","0.007","0.014","0.986","0","0","0","0.115","0.285","9.811","0.004","0.002","0.01","24700000","-71750000","13050000","198.879","-1.719","0.581","1","1","1","0","0","0"
"10","622112.73","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6211","6651","0","16500","0","0","0","0.91664","-0.51561","0.34374","0.007","0.014","0.986","0","0","0","0.115","0.273","9.819","0.003","0.002","0.011","24800000","-71700000","13100000","198.879","-1.719","0.581","1","1","1","0","0","0"
"11","622112.88","0","0","0","0","0","96","0","0","10","2960","15809","64448","93","91","341","6211","6651","0","16500","0","0","0","0.85935","-1.1458","0.74477","0.007","0.014","0.986","0","0","0","0.117","0.289","9.81","0.004","0.003","0.011","24800000","-71700000","13100000","198.879","-1.716","0.582","1","1","1","0","0","0"
"12","622113.03","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6211","6651","0","16500","0","0","0","0.97393","-0.28645","0.28645","0.007","0.014","0.986","0","0","0","0.124","0.292","9.826","0.004","0.002","0.011","24750000","-71700000","13100000","198.879","-1.714","0.583","1","1","1","0","0","0"
"13","622113.18","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","1.37496","-0.05729","1.20309","0.007","0.014","0.986","0","0","0","0.131","0.29","9.813","0.005","0.002","0.01","24750000","-71700000","13100000","198.878","-1.714","0.585","1","1","1","0","0","0"
"14","622113.33","0","0","0","0","0","96","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","1.37496","-0.05729","1.20309","0.007","0.014","0.986","0","0","0","0.125","0.303","9.813","0.004","0.002","0.01","24900000","-71600000","13100000","17","-1.714","0.585","1","1","1","0","0","0"
"15","622113.48","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","1.43225","0.5729","0.45832","0.008","0.014","0.986","0","0","0","0.112","0.305","9.799","0.003","0.004","0.01","25050000","-71400000","13000000","198.879","-1.714","0.588","1","1","1","0","0","0"
"16","622113.63","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","0.63019","0.63019","-0.34374","0.008","0.014","0.986","0","0","0","0.098","0.292","9.803","0.004","0.002","0.011","25050000","-71400000","13000000","198.879","-1.714","0.588","1","1","1","0","0","0"
"17","622113.78","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","-0.11458","-0.05729","-0.11458","0.008","0.014","0.986","0","0","0","0.11","0.289","9.843","0.004","0.002","0.011","25200000","-71450000","13100000","198.879","-1.715","0.588","1","1","1","0","0","0"
"18","622113.93","0","0","0","0","0","97","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","0.51561","-0.22916","2.17702","0.008","0.014","0.986","0","0","0","0.115","0.284","9.811","0.004","0.003","0.01","25300000","-71300000","13100000","198.879","-1.713","0.588","1","1","1","0","0","0"
"19","622114.08","0","0","0","0","0","96","0","0","10","2960","15809","64448","93","91","341","6210","6651","0","16500","0","0","0","0.51561","-0.22916","2.17702","0.008","0.014","0.986","0","0","0","0.115","0.286","9.824","0.004","0.002","0.011","25300000","-71300000","13100000","17","-1.713","0.588","1","1","1","0","0","0"
"20","622114.23","0","0","0","0","0","95","0","0","10","2960","15809","64437","93","91","341","6210","6651","0","16500","0","0","0","0.80206","-0.40103","1.08851","0.008","0.014","0.986","0","0","0","0.107","0.286","9.811","0.003","0.001","0.012","25250000","-71350000","13100000","198.879","-1.711","0.59","1","1","1","0","0","0"
"21","622114.38","0","0","0","0","9169","95","0","0","10","2960","15809","64437","93","91","341","6210","6651","0","16500","0","0","0","0.34374","-0.40103","0.34374","0.008","0.014","0.986","0","0","0","0.126","0.277","9.799","0.004","0.003","0.011","25100000","-71400000","13150000","198.879","-1.71","0.592","1","1","1","0","0","0"
"22","622114.53","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6210","6651","0","16500","0","0","0","1.37496","-0.85935","-0.34374","0.008","0.014","0.986","0","0","0","0.134","0.281","9.812","0.003","0.003","0.011","25100000","-71400000","13150000","198.878","-1.709","0.594","1","1","1","0","0","0"
"23","622114.69","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6210","6651","0","16500","0","0","0","1.89057","-0.63019","0.40103","0.008","0.014","0.986","0","0","0","0.113","0.284","9.831","0.003","0.003","0.01","24900000","-71450000","13100000","198.878","-1.707","0.595","1","1","1","0","0","0"
"24","622114.84","0","0","0","0","0","96","0","0","10","2960","15809","64437","93","91","341","6210","6651","0","16500","0","0","0","1.89057","-0.63019","0.40103","0.008","0.014","0.986","0","0","0","0.131","0.294","9.852","0.005","0.003","0.012","24900000","-71450000","13100000","17","-1.707","0.595","1","1","1","0","0","0"
