"id","time","Lposition","Rposition","Lvelocity","Rvelocity","Distance","heading","rollAngle","pitchAngle","yawAngle","temperature","voltage","current","relsoc","abssoc","ttoempty","remcap","fullcap","changecurr","changevolt","maxerror","Vin","Adin","orientation_x","orientation_y","orientation_z","linear_acceleration_x","linear_acceleration_y","linear_acceleration_z","angular_velocity_x","angular_velocity_y","angular_velocity_z","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","magnetic_field_x","magnetic_field_y","magnetic_field_z","gps_x","gps_y","gps_z","gravity_x","gravity_y","gravity_z","rotational_vector_x","rotational_vector_y","rotational_vector_z"
"1","180966.60","0","0","0","0","0","0","0","0","0","2996","14924","13371337","54","13371337","220","13371337","7979","13371337","16500","1","0","0","-2.17702","0.11458","16.6141","0.004","0.034","-0.552","0","0","0","-0.612","-0.307","10.064","0.022","-0.013","0.015","-45900000","16100000","3300000","67.051","1.768","-3.508","1","1","1","0","0","0"
"2","180966.72","0","0","0","0","0","277","0","0","10","2996","14924","13371337","13371337","64","220","4302","13371337","6000","16500","1","0","0","-0.68748","-0.28645","15.9266","0.004","0.034","-0.552","0","0","0","-0.607","-0.321","10.06","0.021","-0.013","0.014","-45900000","16100000","3300000","67.05","1.766","-3.509","1","1","1","0","0","0"
"3","180966.84","0","0","0","0","0","277","0","0","10","13371337","13371337","64356","54","64","13371337","4302","13371337","6000","13371337","1","0","0","-0.40103","-1.08851","15.6402","0.004","0.034","-0.552","0","0","0","-0.622","-0.306","10.04","0.021","-0.013","0.015","-45900000","16050000","3150000","67.051","1.766","-3.507","1","1","1","0","0","0"
"4","180966.95","0","0","0","0","0","277","0","0","10","2996","13371337","64356","13371337","64","13371337","4302","13371337","6000","16500","1","0","0","-1.26038","-0.22916","14.4944","0.004","0.034","-0.552","0","0","0","-0.618","-0.301","10.074","0.019","-0.014","0.014","-45900000","16050000","3150000","67.05","1.767","-3.508","1","1","1","0","0","0"
"5","180967.07","0","0","0","0","0","277","0","0","10","13371337","13371337","64356","54","64","13371337","4302","13371337","6000","16500","13371337","0","0","-1.03122","0.05729","16.4422","0.004","0.034","-0.552","0","0","0","-0.627","-0.3","10.066","0.022","-0.013","0.014","-46000000","16000000","3100000","67.051","1.766","-3.508","1","1","1","0","0","0"
"6","180967.18","0","0","0","0","0","277","0","0","10","2996","14924","13371337","54","64","13371337","4302","7979","6000","16500","13371337","0","0","-1.54683","0.17187","15.9839","0.004","0.034","-0.552","0","0","0","-0.616","-0.298","10.076","0.022","-0.013","0.013","-46200000","16000000","3100000","67.05","1.765","-3.509","1","1","1","0","0","0"
"7","180967.30","0","0","0","0","0","277","0","0","10","2996","14924","13371337","13371337","64","220","13371337","7979","13371337","16500","1","0","0","-0.91664","0.22916","16.5568","0.004","0.034","-0.552","0","0","0","-0.62","-0.322","10.051","0.019","-0.015","0.015","-46200000","16000000","3100000","67.052","1.764","-3.509","1","1","1","0","0","0"
"8","180967.41","0","0","0","0","0","276","0","0","10","13371337","13371337","64355","54","13371337","220","4302","7979","13371337","16500","13371337","0","0","-1.1458","-1.1458","15.1246","0.004","0.034","-0.552","0","0","0","-0.607","-0.316","10.08","0.02","-0.014","0.015","-46050000","15850000","2950000","67.051","1.765","-3.508","1","1","1","0","0","0"
"9","180967.53","0","0","0","0","0","277","0","0","10","2997","14926","13371337","54","13371337","220","4302","13371337","6000","13371337","1","0","0","-0.45832","-0.80206","16.786","0.004","0.034","-0.552","0","0","0","-0.611","-0.309","10.072","0.021","-0.014","0.015","-45850000","16000000","2900000","67.051","1.764","-3.507","1","1","1","0","0","0"
"10","180967.65","0","0","0","0","0","277","0","0","10","2997","14926","13371337","54","13371337","220","4302","7979","13371337","16500","13371337","0","0","-0.63019","-0.40103","16.3277","0.004","0.034","-0.552","0","0","0","-0.629","-0.316","10.066","0.02","-0.014","0.014","-45950000","16000000","2800000","67.051","1.765","-3.506","1","1","1","0","0","0"
