"id","time","Lposition","Rposition","Lvelocity","Rvelocity","Distance","heading","rollAngle","pitchAngle","yawAngle","temperature","voltage","current","relsoc","abssoc","ttoempty","remcap","fullcap","changecurr","changevolt","maxerror","Vin","Adin","orientation_x","orientation_y","orientation_z","linear_acceleration_x","linear_acceleration_y","linear_acceleration_z","angular_velocity_x","angular_velocity_y","angular_velocity_z","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","magnetic_field_x","magnetic_field_y","magnetic_field_z","gps_x","gps_y","gps_z","gravity_x","gravity_y","gravity_z","rotational_vector_x","rotational_vector_y","rotational_vector_z"
"1","198628.75","0","0","0","0","0","0","0","0","0","3086","15104","64344","13371337","69","13371337","4661","13371337","6000","13371337","1","0","0","0.05729","-0.45832","4.69778","-0.019","0.019","-0.637","0","0","0","-0.046","-0.527","9.878","0.01","-0.004","0.011","350000","11700000","-15750000","79.171","3.03","-0.277","1","1","1","0","0","0"
"2","198628.90","0","0","0","0","0","0","0","0","0","13371337","13371337","64344","59","69","235","4661","7912","13371337","16500","13371337","0","0","-0.17187","-0.68748","4.81236","-0.019","0.019","-0.637","0","0","0","-0.05","-0.531","9.88","0.01","-0.005","0.012","350000","11750000","-15700000","79.171","3.032","-0.277","1","1","1","0","0","0"
"3","198629.02","0","0","0","0","0","114","0","0","10","3086","15104","13371337","59","69","13371337","4661","7912","6000","13371337","1","0","0","-0.17187","-0.68748","5.1561","-0.019","0.019","-0.637","0","0","0","-0.05","-0.531","9.886","0.012","-0.004","0.013","350000","11550000","-15650000","79.171","3.032","-0.278","1","1","1","0","0","0"
"4","198629.13","0","0","0","0","0","114","0","0","10","3086","13371337","64344","13371337","69","13371337","4661","13371337","6000","16500","13371337","0","0","-0.17187","-1.48954","5.38526","-0.019","0.019","-0.637","0","0","0","-0.051","-0.546","9.89","0.01","-0.004","0.012","350000","11400000","-15700000","79.171","3.034","-0.279","1","1","1","0","0","0"
"5","198629.25","0","0","0","0","18502","114","0","0","10","3086","15104","13371337","13371337","69","235","13371337","7912","13371337","16500","1","0","0","0","-0.63019","4.41133","-0.019","0.019","-0.637","0","0","0","-0.048","-0.53","9.873","0.012","-0.004","0.012","450000","11450000","-15550000","79.171","3.035","-0.279","1","1","1","0","0","0"
"6","198629.37","0","0","0","0","18502","114","0","0","10","3086","15105","13371337","13371337","69","13371337","4661","13371337","6000","16500","1","0","0","0.68748","0.45832","5.44255","-0.019","0.019","-0.637","0","0","0","-0.035","-0.512","9.891","0.011","-0.003","0.015","400000","11400000","-15400000","79.17","3.035","-0.279","1","1","1","0","0","0"
"7","198629.49","0","0","0","0","0","114","0","0","10","13371337","15105","64335","59","13371337","234","13371337","7912","13371337","16500","13371337","0","0","0.34374","-0.17187","4.46862","-0.019","0.019","-0.637","0","0","0","-0.042","-0.523","9.874","0.01","-0.004","0.013","400000","11400000","-15400000","79.171","3.035","-0.279","1","1","1","0","0","0"
"8","198629.60","0","0","0","0","0","114","0","0","10","3086","15105","13371337","13371337","69","13371337","4661","7912","13371337","16500","13371337","0","0","0.63019","0.05729","5.04152","-0.019","0.019","-0.637","0","0","0","-0.036","-0.519","9.885","0.011","-0.005","0.013","650000","11550000","-15200000","79.171","3.035","-0.276","1","1","1","0","0","0"
"9","198629.72","0","0","0","0","0","114","0","0","10","3086","15105","13371337","13371337","69","234","13371337","7912","6000","13371337","1","0","0","-0.17187","-0.91664","5.44255","-0.019","0.019","-0.637","0","0","0","-0.05","-0.536","9.891","0.011","-0.005","0.013","600000","11650000","-15000000","79.171","3.035","-0.276","1","1","1","0","0","0"
"10","198629.84","0","0","0","0","0","114","0","0","10","3086","13371337","64335","13371337","69","234","4661","7912","13371337","16500","1","0","0","0.11458","-0.22916","4.29675","-0.019","0.019","-0.637","0","0","0","-0.046","-0.524","9.871","0.01","-0.004","0.013","500000","11550000","-14950000","79.171","3.037","-0.276","1","1","1","0","0","0"
"11","198629.96","0","0","0","0","0","114","0","0","10","3086","15105","13371337","59","69","13371337","4661","13371337","6000","13371337","1","0","0","-0.51561","-0.45832","4.23946","-0.019","0.019","-0.637","0","0","0","-0.057","-0.528","9.87","0.01","-0.004","0.013","550000","11550000","-15050000","79.171","3.038","-0.276","1","1","1","0","0","0"
"12","198630.08","0","0","0","0","0","114","0","0","10","13371337","13371337","64335","59","69","13371337","4661","7912","13371337","16500","13371337","0","0","0.45832","-0.34374","4.23946","-0.019","0.019","-0.637","0","0","0","-0.04","-0.526","9.87","0.011","-0.003","0.013","550000","11550000","-15050000","79.171","3.038","-0.277","1","1","1","0","0","0"
"13","198630.19","0","0","0","0","0","114","0","0","10","13371337","15105","64335","59","13371337","234","13371337","7912","6000","16500","1","0","0","0.05729","0","4.18217","-0.019","0.019","-0.637","0","0","0","-0.046","-0.52","9.869","0.012","-0.004","0.013","550000","11600000","-15100000","79.171","3.038","-0.277","1","1","1","0","0","0"
"14","198630.31","0","0","0","0","0","114","0","0","10","3086","13371337","64338","59","69","13371337","4660","13371337","6000","16500","1","0","0","0.05729","-0.40103","6.01545","-0.019","0.019","-0.637","0","0","0","-0.047","-0.527","9.901","0.011","-0.005","0.013","600000","11650000","-15150000","79.169","3.038","-0.276","1","1","1","0","0","0"
